timestamp,source_ip,destination_ip,protocol,bytes_sent,bytes_received,duration,packet_rate,content_type,user_type,activity_label,anomaly_type,is_malicious
2024-01-26 22:30:00,192.168.2.220,10.0.0.204,HTTPS,20264,8665,35.65,149.7,quiz,teacher,discussion,Malware Injection,1
2024-07-15 19:49:00,192.168.2.208,10.0.2.113,WebRTC,3569,1855,60.13,190.08,chat,admin,discussion,Malware Injection,1
2024-09-04 01:41:00,192.168.1.147,10.0.2.99,HTTPS,9893,8626,74.14,29.85,VR-session,teacher,login,Normal,0
2024-05-15 01:28:00,192.168.0.174,10.0.1.163,UDP,6396,10571,106.34,191.37,quiz,AI-assistant,VR_interaction,Normal,0
2024-01-12 16:22:00,192.168.1.81,10.0.0.54,HTTPS,14265,1936,108.64,127.03,quiz,learner,login,Normal,0
2024-11-30 10:49:00,192.168.2.76,10.0.1.235,WebRTC,1523,1913,83.8,93.54,VR-session,learner,login,Port Scan,1
2024-04-24 10:22:00,192.168.1.239,10.0.0.167,WebRTC,22932,16606,71.28,146.13,VR-session,admin,login,Normal,0
2024-03-18 13:03:00,192.168.1.142,10.0.2.173,HTTPS,10878,6433,102.74,130.85,chat,learner,submit_assignment,Normal,0
2024-06-11 11:55:00,192.168.1.113,10.0.2.39,HTTPS,14372,5740,51.27,180.63,video,AI-assistant,login,Normal,0
2024-01-04 03:21:00,192.168.2.252,10.0.0.184,UDP,24465,5341,28.71,114.56,chat,AI-assistant,VR_interaction,Normal,0
2024-03-24 17:21:00,192.168.2.224,10.0.1.164,HTTP,18313,16985,3.24,101.25,video,admin,stream,Normal,0
2024-10-27 15:30:00,192.168.2.145,10.0.1.72,HTTPS,23744,4471,70.77,12.57,VR-session,admin,login,Malware Injection,1
2024-10-09 09:47:00,192.168.0.230,10.0.2.130,UDP,15158,10018,111.16,58.85,VR-session,AI-assistant,VR_interaction,Normal,0
2024-04-04 14:38:00,192.168.1.193,10.0.0.175,HTTP,19508,5249,10.88,50.24,video,AI-assistant,stream,Normal,0
2024-03-04 21:08:00,192.168.2.167,10.0.0.54,TCP,10959,18437,78.34,125.07,VR-session,learner,login,Normal,0
2024-12-01 02:13:00,192.168.0.198,10.0.1.234,HTTP,6283,16388,21.68,55.63,VR-session,admin,VR_interaction,Normal,0
2024-01-08 10:35:00,192.168.1.235,10.0.2.10,HTTPS,23360,1920,102.42,43.54,lecture,admin,discussion,Normal,0
2024-07-20 19:14:00,192.168.0.241,10.0.1.66,HTTPS,23814,9585,118.5,186.28,video,AI-assistant,login,Normal,0
2024-01-29 10:55:00,192.168.0.65,10.0.2.190,HTTP,6426,11880,101.79,76.67,video,teacher,login,Normal,0
2024-05-16 18:51:00,192.168.0.237,10.0.2.108,TCP,12863,11429,30.66,153.71,video,AI-assistant,login,Normal,0
2024-10-23 00:48:00,192.168.1.49,10.0.2.81,TCP,24071,17335,13.4,122.57,video,learner,VR_interaction,Normal,0
2024-09-09 04:14:00,192.168.0.97,10.0.1.13,WebRTC,23552,11243,27.19,158.37,VR-session,teacher,discussion,Normal,0
2024-03-19 15:31:00,192.168.2.235,10.0.2.239,HTTPS,22340,16035,11.54,72.4,lecture,teacher,login,Normal,0
2024-05-22 00:46:00,192.168.0.25,10.0.2.65,TCP,18661,10270,86.5,159.25,lecture,admin,login,Normal,0
2024-02-11 23:48:00,192.168.2.70,10.0.1.200,HTTPS,5694,5440,102.18,195.4,video,teacher,submit_assignment,Normal,0
2024-10-10 15:47:00,192.168.0.193,10.0.2.225,WebRTC,22967,16768,73.6,111.43,chat,learner,discussion,Spoofing,1
2024-09-06 08:14:00,192.168.1.154,10.0.0.207,WebRTC,2326,3619,68.77,197.72,video,AI-assistant,VR_interaction,Normal,0
2024-03-02 22:13:00,192.168.2.190,10.0.1.147,WebRTC,5751,12218,67.0,101.01,chat,teacher,submit_assignment,DDoS,1
2024-06-11 13:17:00,192.168.1.75,10.0.1.152,HTTP,1939,10980,111.83,26.43,VR-session,teacher,login,Normal,0
2024-09-22 15:57:00,192.168.0.7,10.0.2.246,UDP,12404,2496,20.96,115.8,lecture,teacher,VR_interaction,Normal,0
2024-07-14 04:25:00,192.168.0.176,10.0.0.186,UDP,19663,6967,38.27,187.72,video,AI-assistant,submit_assignment,Normal,0
2024-02-03 02:33:00,192.168.1.122,10.0.2.165,HTTP,14390,16380,51.09,46.25,video,AI-assistant,discussion,Normal,0
2024-05-17 16:57:00,192.168.2.114,10.0.0.96,WebRTC,21918,5673,80.78,167.84,VR-session,admin,submit_assignment,Normal,0
2024-06-16 22:48:00,192.168.2.165,10.0.0.134,TCP,23747,17785,119.48,80.78,quiz,admin,stream,Spoofing,1
2024-06-08 00:32:00,192.168.2.202,10.0.1.92,HTTP,16730,15475,46.71,27.08,quiz,AI-assistant,submit_assignment,Normal,0
2024-01-21 20:07:00,192.168.0.250,10.0.0.94,UDP,10355,6480,74.91,158.53,VR-session,teacher,login,Normal,0
2024-04-21 08:10:00,192.168.0.92,10.0.2.233,HTTPS,5743,1656,2.42,137.89,VR-session,learner,VR_interaction,Normal,0
2024-05-22 00:58:00,192.168.2.54,10.0.0.193,TCP,16089,11555,69.56,199.8,VR-session,admin,submit_assignment,Normal,0
2024-11-14 19:08:00,192.168.2.132,10.0.0.19,TCP,14390,16064,81.1,73.74,lecture,admin,discussion,DDoS,1
2024-05-20 09:41:00,192.168.2.186,10.0.0.3,HTTPS,552,7852,45.22,110.71,lecture,admin,discussion,Normal,0
2024-12-25 00:29:00,192.168.1.63,10.0.0.47,HTTP,15458,2731,62.56,85.83,quiz,admin,VR_interaction,Normal,0
2024-10-27 05:33:00,192.168.1.13,10.0.1.252,HTTPS,22517,6003,116.04,117.2,quiz,admin,stream,Normal,0
2024-02-09 18:06:00,192.168.2.177,10.0.2.199,HTTP,7808,7111,6.41,13.6,quiz,admin,stream,DDoS,1
2024-10-03 22:12:00,192.168.1.210,10.0.0.207,WebRTC,15287,19636,73.13,188.89,video,admin,VR_interaction,Normal,0
2024-02-15 12:00:00,192.168.2.138,10.0.0.105,HTTPS,15223,6282,67.66,122.94,lecture,admin,submit_assignment,Normal,0
2024-09-06 02:42:00,192.168.2.168,10.0.1.195,HTTP,3775,10604,65.75,155.82,chat,admin,discussion,Phishing,1
2024-09-07 01:26:00,192.168.0.54,10.0.2.122,HTTP,11303,8583,49.88,163.39,quiz,teacher,stream,Malware Injection,1
2024-11-24 00:23:00,192.168.1.137,10.0.1.87,WebRTC,12551,19546,91.67,79.56,VR-session,AI-assistant,discussion,Malware Injection,1
2024-11-06 02:17:00,192.168.0.73,10.0.0.39,UDP,14974,6638,54.6,65.39,lecture,admin,stream,Normal,0
2024-10-08 01:52:00,192.168.0.88,10.0.0.160,HTTPS,17286,8945,14.62,79.86,video,admin,login,Normal,0
2024-12-24 07:16:00,192.168.0.93,10.0.2.190,HTTPS,24695,16313,73.85,158.98,chat,learner,stream,Normal,0
2024-07-22 23:20:00,192.168.0.98,10.0.2.201,HTTP,2872,15499,68.92,26.42,lecture,teacher,stream,DDoS,1
2024-03-19 15:47:00,192.168.2.88,10.0.1.199,TCP,18130,3124,55.28,127.27,chat,teacher,submit_assignment,Normal,0
2024-04-29 17:54:00,192.168.2.162,10.0.0.79,WebRTC,2320,18129,23.04,163.01,VR-session,learner,submit_assignment,Normal,0
2024-08-03 18:08:00,192.168.2.58,10.0.0.54,TCP,12003,2661,108.96,20.57,lecture,teacher,discussion,Normal,0
2024-10-15 00:08:00,192.168.1.170,10.0.2.95,HTTPS,7843,8196,58.36,133.0,quiz,learner,stream,Normal,0
2024-03-17 06:31:00,192.168.1.34,10.0.2.147,HTTP,4864,4904,117.61,119.24,lecture,teacher,submit_assignment,Malware Injection,1
2024-11-24 21:01:00,192.168.0.40,10.0.1.233,HTTP,14180,6232,101.83,65.38,lecture,admin,discussion,Normal,0
2024-11-17 13:16:00,192.168.2.20,10.0.2.190,WebRTC,7304,11144,53.91,98.55,video,teacher,submit_assignment,Normal,0
2024-05-12 00:57:00,192.168.1.183,10.0.1.127,UDP,12297,19586,89.29,53.57,lecture,teacher,VR_interaction,Normal,0
2024-03-07 13:28:00,192.168.2.207,10.0.1.53,HTTP,7826,15353,4.93,108.36,quiz,teacher,stream,Normal,0
2024-03-11 06:24:00,192.168.0.130,10.0.1.209,WebRTC,15625,5239,110.9,37.09,quiz,teacher,submit_assignment,Normal,0
2024-07-19 04:39:00,192.168.0.49,10.0.2.150,HTTP,21151,10023,45.56,44.08,chat,teacher,discussion,Normal,0
2024-05-03 11:37:00,192.168.1.144,10.0.1.247,WebRTC,23366,13226,105.13,54.18,lecture,teacher,login,Normal,0
2024-10-22 08:13:00,192.168.2.30,10.0.2.248,HTTP,10699,7740,69.53,98.19,VR-session,teacher,submit_assignment,Port Scan,1
2024-12-15 17:53:00,192.168.1.218,10.0.0.28,TCP,4245,1038,11.6,143.75,quiz,AI-assistant,VR_interaction,Normal,0
2024-03-08 04:54:00,192.168.1.75,10.0.1.248,HTTP,14154,11981,57.57,151.28,quiz,admin,submit_assignment,Normal,0
2024-06-11 08:45:00,192.168.2.178,10.0.1.71,HTTP,4891,12904,12.05,67.67,quiz,teacher,stream,Phishing,1
2024-12-21 12:18:00,192.168.2.7,10.0.2.65,HTTP,21695,8578,107.52,156.01,chat,admin,login,Normal,0
2024-06-25 14:07:00,192.168.0.29,10.0.2.199,HTTP,16593,4937,30.51,83.41,VR-session,teacher,stream,Normal,0
2024-11-12 19:48:00,192.168.1.32,10.0.0.100,UDP,2789,2520,90.46,37.5,lecture,AI-assistant,submit_assignment,Data Leakage,1
2024-10-06 23:41:00,192.168.1.153,10.0.2.102,TCP,4208,15527,2.82,149.79,video,AI-assistant,stream,Normal,0
2024-06-14 09:19:00,192.168.0.162,10.0.0.36,UDP,1887,15528,113.89,68.3,VR-session,learner,discussion,Data Leakage,1
2024-07-19 08:07:00,192.168.2.117,10.0.2.185,TCP,20373,5442,103.51,130.46,VR-session,AI-assistant,VR_interaction,Normal,0
2024-08-06 23:56:00,192.168.2.179,10.0.2.198,UDP,2735,7331,31.24,141.65,VR-session,admin,stream,Normal,0
2024-09-20 06:17:00,192.168.0.56,10.0.1.188,HTTPS,14518,12333,70.25,29.43,quiz,teacher,login,Normal,0
2024-01-20 08:41:00,192.168.0.138,10.0.0.131,HTTPS,10686,11219,60.01,15.77,quiz,admin,discussion,Normal,0
2024-03-16 17:18:00,192.168.0.142,10.0.2.246,HTTP,10338,5254,63.3,156.88,video,admin,VR_interaction,Normal,0
2024-12-20 15:15:00,192.168.0.69,10.0.0.202,TCP,14111,2386,29.94,123.92,VR-session,AI-assistant,VR_interaction,Normal,0
2024-12-19 03:30:00,192.168.0.102,10.0.2.18,HTTP,12361,12279,41.93,160.88,quiz,learner,stream,Malware Injection,1
2024-05-23 19:35:00,192.168.0.245,10.0.0.99,HTTPS,7737,7619,5.22,89.65,video,teacher,discussion,Normal,0
2024-07-31 22:22:00,192.168.0.100,10.0.1.146,HTTPS,1637,10094,69.6,119.66,video,teacher,login,Normal,0
2024-02-04 00:34:00,192.168.1.53,10.0.1.235,TCP,20946,13746,73.07,100.36,VR-session,learner,submit_assignment,Normal,0
2024-02-01 09:08:00,192.168.0.60,10.0.1.140,HTTPS,7135,17189,67.36,181.63,video,learner,discussion,Data Leakage,1
2024-04-20 07:54:00,192.168.1.23,10.0.2.175,WebRTC,4493,13835,20.93,169.81,chat,learner,stream,Normal,0
2024-08-12 11:53:00,192.168.0.8,10.0.2.99,WebRTC,9508,9236,34.31,135.12,lecture,learner,login,Normal,0
2024-07-12 13:40:00,192.168.0.88,10.0.1.105,HTTPS,1692,9672,35.92,158.97,lecture,admin,submit_assignment,Malware Injection,1
2024-09-27 11:58:00,192.168.0.188,10.0.0.91,TCP,13924,11349,11.85,110.0,video,admin,stream,Normal,0
2024-11-03 03:40:00,192.168.1.144,10.0.1.132,UDP,8918,10194,33.27,40.21,lecture,learner,submit_assignment,Normal,0
2024-01-25 18:02:00,192.168.0.165,10.0.0.38,HTTP,9157,11132,5.63,156.08,VR-session,AI-assistant,discussion,Normal,0
2024-03-13 23:38:00,192.168.2.60,10.0.1.3,UDP,2860,18570,56.18,130.54,quiz,AI-assistant,VR_interaction,Normal,0
2024-11-06 17:12:00,192.168.0.111,10.0.0.55,TCP,13817,8640,68.22,176.36,chat,learner,submit_assignment,DDoS,1
2024-04-13 16:36:00,192.168.1.220,10.0.1.155,TCP,5098,12158,100.79,20.24,video,admin,submit_assignment,DDoS,1
2024-11-18 00:03:00,192.168.1.69,10.0.1.254,HTTPS,17262,4404,45.85,106.13,video,teacher,stream,Normal,0
2024-07-17 23:26:00,192.168.0.157,10.0.0.249,UDP,7772,15956,22.95,62.2,VR-session,learner,VR_interaction,Spoofing,1
2024-11-13 22:48:00,192.168.2.159,10.0.2.250,WebRTC,12736,12546,22.31,111.26,quiz,teacher,discussion,Malware Injection,1
2024-11-21 00:29:00,192.168.1.210,10.0.2.223,WebRTC,9044,8071,93.36,100.53,chat,learner,login,Normal,0
2024-04-25 23:27:00,192.168.0.136,10.0.1.117,UDP,19770,18588,117.04,164.81,quiz,teacher,submit_assignment,Normal,0
2024-05-22 04:11:00,192.168.0.65,10.0.0.78,TCP,21201,14229,53.69,160.51,video,teacher,stream,Normal,0
2024-02-02 22:22:00,192.168.0.247,10.0.2.159,TCP,14195,4187,92.68,71.17,video,teacher,stream,Normal,0
2024-08-19 15:38:00,192.168.2.89,10.0.0.210,TCP,23835,12136,68.96,42.61,VR-session,admin,stream,Normal,0
2024-03-11 10:58:00,192.168.2.152,10.0.1.248,UDP,11499,4096,116.51,84.74,chat,teacher,stream,Normal,0
