slot,ue_0,ue_1,ue_2,ue_3,ue_4,ue_5
0,1,0,1,0,0,0
1,1,0,1,0,0,0
2,1,0,1,0,0,0
3,1,0,1,1,0,0
4,1,0,1,1,1,0
5,1,0,1,1,1,0
6,1,0,1,1,1,0
7,1,0,1,1,1,0
8,0,0,1,1,1,1
9,0,0,1,1,1,1
10,0,0,1,1,1,1
11,1,0,1,1,1,0
12,1,0,1,1,1,0
13,1,1,1,1,0,0
14,1,1,1,1,0,0
15,1,1,1,1,0,0
16,1,1,1,1,0,0
17,1,1,1,1,0,0
18,1,1,1,1,0,0
19,1,1,1,1,0,0
20,1,1,1,1,0,0
21,1,1,0,1,1,0
22,1,1,1,1,0,0
23,1,1,1,1,0,0
24,1,1,1,0,1,0
25,1,1,1,0,1,0
26,1,1,1,0,1,0
27,1,1,1,0,1,0
28,0,1,1,0,1,1
29,1,1,1,0,1,0
30,1,1,1,0,1,0
31,1,1,1,0,1,0
32,1,1,1,0,1,0
33,1,1,1,0,1,0
34,1,1,0,0,1,1
35,1,1,0,1,1,0
36,1,1,1,1,0,0
37,1,1,1,1,0,0
38,1,1,1,1,0,0
39,1,1,1,1,0,0
40,1,1,1,1,0,0
41,0,1,1,1,1,0
42,0,1,1,1,1,0
43,0,0,1,1,1,1
44,0,0,1,1,0,1
45,0,0,1,1,0,1
46,0,0,1,1,0,1
47,0,0,1,1,0,1
48,0,0,1,1,0,1
49,0,0,1,1,0,1
50,0,0,1,1,0,1
51,0,0,1,1,0,1
52,0,1,1,1,0,1
53,0,1,1,1,0,1
54,0,1,1,1,1,0
55,0,1,0,1,1,1
56,0,1,0,1,1,1
57,0,1,0,1,1,1
58,0,1,0,1,1,1
59,0,1,0,1,1,0
60,0,1,0,1,1,0
61,0,1,0,1,1,0
62,0,1,1,1,1,0
63,0,1,1,1,1,0
64,0,1,1,1,1,0
65,0,1,1,1,1,0
66,0,1,1,1,1,0
67,0,1,1,1,1,0
68,1,1,1,1,0,0
69,1,1,1,1,0,0
70,1,1,1,1,0,0
71,1,1,1,1,0,0
72,1,1,1,1,0,0
73,1,1,1,1,0,0
74,1,0,1,1,0,1
75,1,0,1,1,0,1
76,1,0,1,1,0,1
77,1,0,0,1,0,1
78,1,0,1,1,0,1
79,1,1,1,1,0,0
80,1,1,1,1,0,0
81,1,1,1,1,0,0
82,1,1,1,1,0,0
83,1,1,1,1,0,0
84,1,1,1,1,0,0
85,1,1,1,1,0,0
86,1,1,1,1,0,0
87,1,0,1,1,1,0
88,1,0,1,1,1,0
89,1,0,1,1,1,0
90,1,0,1,1,1,0
91,1,0,0,1,1,1
92,1,0,1,1,1,0
93,1,0,1,1,1,0
94,1,0,1,1,1,0
95,1,0,1,1,1,0
96,1,0,1,1,1,0
97,1,0,1,1,1,0
98,1,0,1,1,1,0
99,1,0,1,1,1,0
100,1,0,1,1,1,0
101,1,1,1,1,0,0
102,1,1,1,1,0,0
103,0,1,1,1,0,1
104,0,1,1,1,0,1
105,0,1,1,1,1,0
106,0,1,1,1,1,0
107,0,1,1,1,1,0
108,1,1,1,1,0,0
109,1,0,1,1,1,0
110,1,0,1,1,1,0
111,1,0,1,1,1,0
112,1,0,1,1,1,0
113,1,1,1,1,0,0
114,1,1,1,1,0,0
115,1,1,1,1,0,0
116,0,1,1,1,1,0
117,0,1,1,1,0,1
118,0,1,1,1,0,1
119,0,1,1,1,0,1
120,0,1,1,1,0,1
121,0,0,1,1,1,1
122,0,0,1,1,1,1
123,0,0,1,1,1,1
124,0,0,1,1,1,1
125,0,0,1,1,1,1
126,0,1,1,1,1,0
127,0,1,1,1,1,0
128,0,1,1,1,1,0
129,0,1,1,1,1,0
130,0,1,1,1,1,0
131,0,1,1,1,1,0
132,0,1,1,1,1,0
133,0,1,1,1,1,0
134,0,1,1,1,1,0
135,0,1,1,1,1,0
136,1,1,1,1,0,0
137,1,1,1,1,0,0
138,1,1,1,1,0,0
139,1,1,1,1,0,0
140,1,1,0,1,1,0
141,1,1,0,1,1,0
142,1,1,0,1,1,0
143,1,0,0,1,1,0
144,0,0,1,1,1,1
145,0,0,1,1,1,1
146,0,0,1,1,1,1
147,1,0,1,1,1,0
148,1,0,1,1,1,0
149,1,0,1,1,1,0
150,1,0,1,1,1,0
151,1,0,1,1,1,0
152,1,0,1,1,1,0
153,1,0,1,1,1,0
154,1,1,1,1,0,0
155,1,1,1,1,0,0
156,1,1,1,1,0,0
157,1,1,1,1,0,0
158,1,1,1,1,0,0
159,1,1,1,1,0,0
160,1,1,1,1,0,0
161,1,1,1,1,0,0
162,1,1,1,1,0,0
163,0,1,1,1,0,1
164,0,1,1,1,0,1
165,0,1,1,1,0,0
166,0,1,0,1,0,0
167,0,0,1,1,0,0
168,0,0,1,1,0,0
169,0,0,1,0,0,0
170,0,1,1,0,0,0
171,0,1,1,0,0,0
172,0,1,1,0,0,0
173,0,1,1,0,0,0
174,0,1,1,0,0,0
175,0,1,1,0,0,0
176,0,1,1,0,1,0
177,0,1,1,0,1,0
178,0,0,1,0,1,0
179,0,0,0,0,1,0
180,1,0,0,1,1,0
181,1,0,0,1,1,0
182,1,0,0,1,1,0
183,1,0,0,1,1,0
184,1,0,0,1,1,0
185,1,0,1,1,1,0
186,1,0,1,1,1,0
187,1,1,1,1,0,0
188,1,1,1,1,0,0
189,1,1,1,1,0,0
190,0,1,1,1,1,0
191,0,1,1,1,1,0
192,0,1,1,1,1,0
193,0,1,1,1,1,0
194,0,1,1,1,1,0
195,0,1,1,1,1,0
196,0,1,1,1,1,0
197,1,1,1,1,0,0
198,1,1,1,1,0,0
199,1,1,1,1,0,0
200,1,1,1,1,0,0
201,1,1,1,1,0,0
202,1,1,0,1,1,0
203,1,0,0,1,1,1
204,1,1,0,1,1,0
205,1,1,0,1,1,0
206,1,1,0,1,1,0
207,1,1,1,1,0,0
208,1,1,1,1,0,0
209,1,1,1,1,0,0
210,1,1,1,1,0,0
211,0,1,1,0,1,1
212,0,0,1,0,0,1
213,1,0,1,0,0,1
214,1,1,1,0,0,1
215,1,1,1,0,0,1
216,1,1,1,0,1,0
217,1,1,1,0,1,0
218,1,1,1,0,1,0
219,1,1,1,0,1,0
220,1,1,1,0,1,0
221,1,1,1,1,0,0
222,1,1,1,1,0,0
223,0,1,1,1,1,0
224,0,1,1,1,1,0
225,0,1,1,1,1,0
226,0,1,1,1,1,0
227,0,1,1,1,1,0
228,0,1,1,1,1,0
229,0,1,1,1,1,0
230,0,1,1,1,1,0
231,1,1,1,1,0,0
232,1,1,1,1,0,0
233,1,1,1,1,0,0
234,1,1,1,1,0,0
235,1,1,1,1,0,0
236,1,1,1,1,0,0
237,1,1,1,1,0,0
238,1,0,1,1,1,0
239,1,0,1,1,1,0
240,1,1,0,1,1,0
241,1,1,1,1,0,0
242,1,1,1,1,0,0
243,1,1,1,1,0,0
244,1,1,1,1,0,0
245,1,1,1,1,0,0
246,1,1,1,1,0,0
247,1,1,1,1,0,0
248,1,1,1,1,0,0
249,1,1,1,1,0,0
250,1,1,1,1,0,0
251,1,1,1,1,0,0
252,1,1,1,1,0,0
253,1,1,1,1,0,0
254,1,0,1,1,1,0
